Age;Education;Marital_Status;Income;Children;users_day;Costs;AcceptedCmp;Purchase;O
51;Graduation;relationship;50447;2;2765;148;0;7;1
62;PhD;relationship;53537;2;2846;93;0;6;2
54;Graduation;Single;52074;1;2782;119;1;6;1
46;PhD;relationship;80427;1;3263;1835;0;27;2
73;PhD;relationship;83837;0;3256;1318;3;24;2
51;PhD;relationship;38853;2;2733;45;0;5;2
62;Graduation;relationship;38285;3;2701;10;0;3;1
70;Bachelor;relationship;78497;0;3229;978;1;24;2
45;PhD;relationship;51650;1;2567;191;0;9;2
33;Bachelor;relationship;16248;1;2598;57;0;6;2
75;Master;relationship;66835;0;2970;1033;0;23;1
37;Master;relationship;30477;1;2854;66;0;5;1
60;Bachelor;relationship;28249;0;2710;43;0;5;2
38;Graduation;relationship;25271;1;3474;50;0;4;1
51;PhD;Single;32303;1;2661;39;0;5;2
55;Graduation;relationship;61286;1;3202;608;0;16;1
45;Graduation;relationship;74068;0;3163;1581;0;23;1
57;PhD;relationship;45759;2;3187;68;0;5;2
43;Bachelor;relationship;24882;1;3354;80;1;4;2
32;PhD;relationship;66973;0;3104;1282;0;27;2
121;Bachelor;Single;36640;1;2972;65;0;5;2
33;Graduation;relationship;38872;1;3091;91;0;6;1
48;Graduation;relationship;51148;2;3192;315;0;12;1
44;Graduation;relationship;31353;2;2878;31;0;4;1
41;Master;relationship;69661;0;2743;834;0;22;1
67;Graduation;relationship;80067;0;2979;1600;1;16;1
67;Graduation;relationship;86718;0;3224;1270;0;16;1
48;PhD;Single;46854;2;2786;263;2;9;2
69;Graduation;Single;69142;1;2696;535;1;16;1
53;Graduation;Single;75922;0;2986;1295;0;17;1
43;Graduation;Single;63693;1;2954;1150;0;26;1
44;PhD;relationship;102160;0;3565;1240;4;26;2
56;PhD;Single;40637;2;3043;38;0;4;2
37;Master;Single;18890;0;3322;35;2;3;1
33;Graduation;relationship;29604;1;3017;53;1;4;1
58;Master;Single;48721;2;3108;293;0;11;1
55;Graduation;relationship;44794;1;2658;65;0;5;1
67;Graduation;Single;64497;1;3324;1804;2;24;1
65;Graduation;relationship;46097;1;3151;241;0;10;1
67;Graduation;relationship;77972;0;2799;1101;0;19;1
53;PhD;relationship;44377;2;3476;264;0;11;2
47;Master;relationship;46014;2;3220;541;0;16;1
36;Graduation;relationship;70951;0;3146;1198;0;16;1
44;Graduation;relationship;41443;1;2872;482;0;14;1
43;Bachelor;Single;52195;3;2537;17;0;3;2
73;Master;relationship;83790;0;2922;1615;2;24;1
67;Master;Single;44551;1;2998;285;0;10;1
41;Graduation;relationship;69508;1;3288;1135;0;26;1
33;Bachelor;relationship;45204;1;2568;114;0;6;2
52;Graduation;relationship;72460;0;2923;1047;0;15;1
51;PhD;relationship;77622;2;2772;714;0;20;2
41;PhD;relationship;30732;1;3120;185;0;9;2
59;Graduation;Single;63887;1;3385;1245;0;27;1
43;Graduation;relationship;42011;1;3156;189;0;8;1
45;Graduation;relationship;51369;1;3308;576;0;14;1
69;Graduation;Single;51537;1;3351;1103;0;15;1
49;PhD;relationship;79930;0;3386;1753;0;16;2
35;PhD;relationship;34320;1;2829;17;0;3;2
55;Graduation;Single;37070;2;3162;433;1;14;1
59;Bachelor;Single;81975;1;3120;1588;1;13;2
50;Graduation;relationship;38590;1;3106;22;0;3;1
70;Graduation;Single;15033;0;2770;19;0;4;1
56;PhD;relationship;62745;1;3159;1117;0;26;2
46;Bachelor;relationship;22212;1;2986;69;0;6;2
39;Master;relationship;23661;1;3139;23;0;4;1
63;PhD;Single;79761;1;3141;605;0;18;2
48;Graduation;Single;7500;1;2881;57;0;7;1
128;Bachelor;Single;60182;1;2739;22;0;3;2
53;Graduation;Single;73455;0;2940;2088;1;21;1
63;Graduation;relationship;64961;1;3249;1009;0;14;1
50;Graduation;Single;22804;1;3029;26;0;4;1
31;Graduation;relationship;73687;0;2909;1627;2;21;1
63;Graduation;relationship;61074;1;3377;1102;0;24;1
57;PhD;relationship;31686;2;2750;17;0;4;2
49;Graduation;relationship;80134;1;3101;1690;4;14;1
68;Graduation;relationship;75027;1;2997;1390;0;19;1
33;PhD;relationship;67546;0;3363;2126;0;19;2
52;Master;relationship;65176;1;3304;1531;0;21;1
46;Master;Single;31160;1;2982;64;0;5;1
36;Graduation;Single;29938;1;2941;26;0;4;1
47;Graduation;Single;102692;0;3117;1112;5;28;1
63;Bachelor;relationship;26490;0;3341;210;0;9;2
54;Graduation;relationship;75702;2;3365;1148;0;21;1
47;PhD;Single;30899;1;3320;33;0;4;2
60;PhD;relationship;63342;1;3317;1101;1;16;2
57;Graduation;Single;45989;1;3311;322;0;12;1
57;Graduation;Single;18701;2;3145;44;0;6;1
64;PhD;Single;40737;3;3017;17;0;3;2
42;Graduation;Single;15287;1;3323;31;2;4;1
53;PhD;Single;69674;2;3099;845;0;22;2
51;Master;relationship;44159;1;2708;275;0;11;1
43;PhD;relationship;37717;1;3279;25;0;3;2
69;Master;relationship;43776;2;3180;275;1;11;1
55;Master;relationship;38179;2;3168;90;0;7;1
58;Graduation;relationship;80124;0;2699;1495;1;18;1
51;PhD;relationship;38097;2;3318;184;2;7;2
51;Graduation;relationship;72940;0;3071;981;0;12;1
51;Graduation;relationship;22070;1;3141;67;0;6;1
68;Graduation;Single;69267;0;3341;1635;1;12;1
38;Master;Single;31788;1;2797;60;0;7;1
46;PhD;relationship;61905;1;2784;231;0;10;2
61;Graduation;relationship;29315;2;2721;48;0;6;1
58;Graduation;Single;33378;2;3088;99;0;6;1
58;PhD;relationship;66313;1;2982;770;0;21;2
65;Graduation;Single;60714;0;3224;957;1;21;1
40;Master;relationship;77882;0;2756;818;0;11;1
35;PhD;Single;69867;0;3206;925;2;16;2
53;Master;Single;63841;1;3130;908;0;21;1
40;Bachelor;relationship;24480;1;2935;102;0;7;2
45;Graduation;relationship;51369;1;3308;576;0;14;1
75;Graduation;relationship;37760;0;3363;317;0;11;1
47;PhD;relationship;65640;1;2873;461;0;14;2
46;Master;relationship;44319;2;2769;37;0;5;1
47;Graduation;relationship;30631;1;2900;70;0;6;1
69;Graduation;relationship;75278;0;3212;930;0;22;1
65;Master;relationship;50898;2;3028;859;0;20;1
55;Graduation;Single;79946;0;2537;1478;0;21;1
72;Master;Single;35416;0;3077;390;0;13;1
37;Bachelor;relationship;32414;0;3144;52;1;4;2
52;Graduation;relationship;38361;1;2880;137;0;7;1
41;Graduation;relationship;82497;0;3302;1919;1;18;1
50;Graduation;relationship;16626;2;2861;68;0;6;1
56;Graduation;relationship;29672;2;2904;25;0;3;1
69;Master;relationship;55951;1;3371;1374;2;20;1
33;Bachelor;Single;35388;1;3057;32;0;4;2
35;Master;relationship;42386;1;3228;100;0;6;1
39;Graduation;Single;68627;0;2906;825;0;11;1
56;PhD;Single;57912;1;2800;916;1;23;2
63;Graduation;Single;35246;2;2770;62;0;7;1
65;Bachelor;relationship;58821;1;2897;728;0;20;2
43;PhD;relationship;46377;1;2873;90;0;6;2
33;Graduation;Single;39747;1;2773;273;0;10;1
37;Graduation;relationship;23976;1;2880;66;0;7;1
60;Master;relationship;80950;0;3154;1213;1;22;1
55;Graduation;Single;27038;0;3345;107;1;6;1
74;Graduation;Single;77457;0;2753;1157;1;17;1
57;Master;relationship;64100;1;2959;546;1;17;1
29;Master;relationship;42670;0;3124;241;0;10;1
45;Graduation;Single;12571;1;2858;53;0;7;1
54;Graduation;relationship;22574;3;2940;37;0;5;1
32;Graduation;relationship;52247.25135;0;3176;1611;2;23;1
45;Master;Single;70893;0;3088;1508;0;22;1
55;Graduation;relationship;54198;2;2890;235;0;10;1
65;Master;relationship;28839;2;2569;32;0;5;1
49;Graduation;relationship;40321;2;3031;102;0;6;1
36;Graduation;Single;66503;1;3380;401;0;13;1
70;Graduation;relationship;30833;2;3044;28;0;4;1
51;Graduation;Single;52247.25135;3;3006;1052;2;15;1
50;Graduation;relationship;64795;1;3224;680;0;18;1
47;Graduation;relationship;34421;1;3234;30;0;3;1
56;PhD;Single;47025;2;2631;20;0;3;2
60;PhD;Single;64325;1;3058;1307;0;18;2
68;Graduation;Single;40464;1;2936;630;0;18;1
64;Graduation;relationship;62187;0;3114;1283;0;17;1
45;PhD;Single;14849;1;3203;65;0;6;2
37;Graduation;relationship;27255;1;3049;37;0;4;1
71;PhD;relationship;54432;3;2993;38;0;4;2
35;PhD;Single;29999;1;3197;160;0;8;2
38;Graduation;Single;24072;1;3135;23;0;3;1
32;PhD;Single;33996;0;2928;71;0;5;2
65;PhD;relationship;66334;1;3178;1161;1;17;2
50;Master;relationship;35178;1;2967;59;2;4;1
38;Graduation;relationship;22010;1;3060;33;0;5;1
61;Graduation;Single;62204;2;3263;946;0;21;1
53;Graduation;Single;75693;0;3443;1442;4;21;1
49;Graduation;relationship;30675;1;3261;62;0;4;1
56;Graduation;relationship;83003;0;3179;1674;2;21;1
122;PhD;relationship;83532;0;2972;1853;1;14;2
33;Graduation;Single;68655;0;3325;1538;0;20;1
35;Graduation;Single;41411;0;3048;139;0;7;1
52;PhD;relationship;55212;1;3279;1182;2;17;2
71;PhD;relationship;59292;1;3077;507;0;16;2
48;Bachelor;relationship;27190;1;3014;18;2;3;2
69;Graduation;Single;82623;0;2957;940;0;15;1
56;Graduation;relationship;44300;2;3067;42;0;4;1
51;Graduation;Single;84835;0;2709;1190;1;14;1
50;Graduation;Single;30372;2;3247;44;0;5;1
45;Master;relationship;33181;1;2816;16;1;3;1
64;Graduation;relationship;71113;1;2890;835;0;22;1
35;Graduation;relationship;71952;1;2967;1443;2;20;1
55;PhD;Single;69759;0;2940;1029;1;15;2
47;Graduation;relationship;72099;0;3306;1188;0;17;1
45;PhD;Single;60000;1;3250;1277;0;19;2
43;Graduation;Single;38643;2;2908;49;0;5;1
66;Graduation;relationship;50737;1;2932;99;1;6;1
52;PhD;relationship;68462;0;3260;1670;0;14;2
78;Master;relationship;65073;0;3009;900;0;13;1
73;PhD;relationship;46681;2;3019;425;0;14;2
64;Graduation;relationship;78618;0;3335;2153;1;21;1
52;PhD;Single;62187;1;2795;636;0;18;2
43;Graduation;relationship;28442;2;2821;57;0;7;1
43;PhD;relationship;37717;1;3279;25;0;3;2
54;Graduation;relationship;51479;2;3244;494;0;15;1
52;Graduation;Single;54803;1;3373;693;0;17;1
61;Graduation;relationship;79530;0;3104;1348;0;25;1
45;Graduation;Single;31615;1;3166;51;0;5;1
59;Graduation;relationship;72025;0;3285;1932;0;15;1
46;PhD;Single;52614;1;3595;990;0;14;2
37;Bachelor;relationship;35684;1;2764;30;0;4;2
46;Graduation;relationship;48178;2;3305;254;0;10;1
51;Master;Single;29548;1;3000;29;1;4;1
55;Graduation;Single;63810;1;3291;1371;1;19;1
49;PhD;Single;38578;2;3068;73;1;6;2
46;Master;Single;46098;2;3376;120;0;7;1
51;Graduation;Single;22585;0;3164;81;2;4;1
32;Graduation;Single;30279;1;3242;37;0;4;1
60;PhD;relationship;66426;1;3200;1377;0;18;2
52;Graduation;Single;30822;1;3076;51;0;4;1
52;PhD;relationship;33581;2;3028;17;0;3;2
36;Graduation;relationship;19986;1;2923;22;0;3;1
67;Graduation;Single;27421;0;3260;324;0;11;1
48;Bachelor;relationship;35688;3;3372;211;0;9;2
40;Master;Single;36143;1;2787;19;0;3;1
50;Graduation;Single;10245;1;3106;41;0;5;1
53;Master;relationship;43795;1;2952;492;2;14;1
61;Graduation;relationship;63381;1;3476;1005;0;22;1
72;Graduation;relationship;38823;1;3364;114;0;6;1
53;PhD;Single;83664;2;3024;1173;0;16;2
42;Graduation;relationship;90300;0;2816;1738;1;19;1
42;Master;relationship;62499;1;2986;222;0;10;1
28;Graduation;Single;74293;0;2781;1127;0;15;1
75;PhD;relationship;51012;0;3133;209;0;9;2
53;Master;relationship;70777;1;2820;787;0;20;1
30;PhD;relationship;68682;0;3080;1598;0;23;2
50;Graduation;relationship;43824;2;3348;186;0;8;1
37;Graduation;relationship;15345;1;3363;47;1;4;1
34;Graduation;Single;23442;1;3248;27;0;4;1
41;Bachelor;relationship;14515;1;3352;96;1;7;2
65;Bachelor;Single;31395;2;3159;64;0;6;2
56;Graduation;relationship;75276;0;3336;1040;0;22;1
47;Graduation;Single;42373;2;3014;163;0;8;1
61;Graduation;relationship;30507;0;2934;343;0;10;1
66;PhD;Single;55521;3;2946;446;2;15;2
56;Graduation;relationship;48006;2;2627;41;0;4;1
49;PhD;Single;27213;1;3364;70;1;6;2
50;PhD;Single;65808;2;2726;272;0;11;2
47;PhD;relationship;30351;1;3084;46;0;5;2
58;Graduation;relationship;50437;2;3316;490;0;16;1
39;Bachelor;Single;23616;1;3285;79;1;6;2
45;Graduation;relationship;53858;1;3352;915;0;13;1
66;PhD;relationship;66465;1;3152;1485;1;32;2
34;Graduation;Single;46923;1;3372;369;0;13;1
59;Graduation;relationship;75072;1;3218;1073;0;17;1
78;PhD;relationship;75865;0;2786;1242;0;18;2
46;Bachelor;relationship;19789;1;2917;78;1;6;2
27;Graduation;relationship;80134;0;2831;1378;4;20;1
40;Graduation;Single;91065;0;3188;1474;3;25;1
50;Master;relationship;49505;2;3118;751;0;20;1
48;PhD;relationship;37401;1;2720;48;0;5;2
38;Graduation;relationship;30096;1;2734;45;0;5;1
39;Master;relationship;18492;1;2750;10;0;3;1
47;Master;relationship;82584;0;3145;1435;3;15;1
80;PhD;relationship;93027;0;3138;2119;1;22;2
68;Graduation;relationship;48686;3;3139;20;0;3;1
35;Graduation;relationship;92910;0;2762;1795;3;26;1
32;Graduation;relationship;75433;1;2752;1188;2;17;1
32;Bachelor;relationship;10404;1;2781;43;0;5;2
53;Graduation;relationship;61314;1;3126;1008;0;22;1
60;PhD;Single;84865;0;2993;1688;5;15;2
32;Graduation;relationship;42387;1;3304;684;0;16;1
54;Bachelor;relationship;67309;2;3218;1082;0;24;2
57;Graduation;relationship;75236;1;2912;1068;0;24;1
51;Graduation;Single;30015;1;2843;57;0;5;1
65;Master;relationship;50943;1;3069;46;0;4;1
55;Graduation;Single;67272;1;2886;733;0;20;1
72;Master;Single;51529;1;3051;467;0;15;1
50;PhD;relationship;32011;1;3007;122;0;7;2
35;Bachelor;relationship;7500;1;3058;36;0;5;2
32;Graduation;relationship;28691;1;3144;34;0;4;1
73;PhD;relationship;56223;1;2887;156;0;8;2
75;Graduation;relationship;18100;0;3082;14;0;3;1
32;Graduation;Single;30279;1;3242;37;0;4;1
47;Bachelor;relationship;20130;0;2800;34;0;4;2
62;Graduation;Single;23295;0;3047;20;0;3;1
49;Master;Single;42618;1;2988;192;0;9;1
57;Graduation;Single;81246;0;2878;1379;2;16;1
45;Graduation;relationship;24027;1;2992;48;0;5;1
68;PhD;relationship;55707;1;2885;428;0;14;2
66;Graduation;Single;57959;1;3205;868;0;22;1
52;Graduation;relationship;56796;1;3194;1001;0;24;1
50;Master;Single;36230;1;2951;59;0;6;1
41;Bachelor;relationship;70829;2;3229;431;0;14;2
45;Graduation;relationship;65991;1;3416;971;0;24;1
49;Graduation;relationship;38988;3;3374;348;0;12;1
55;Bachelor;Single;89572;0;3348;2059;3;23;2
37;Master;relationship;42207;1;3237;265;2;10;1
69;Graduation;relationship;50300;1;2731;270;0;11;1
39;Bachelor;relationship;66664;0;3338;1289;0;18;2
57;Graduation;relationship;60597;1;2875;893;2;12;1
72;Graduation;Single;70165;0;2976;926;0;21;1
63;PhD;Single;50520;1;2848;135;0;7;2
58;Graduation;relationship;80124;0;2699;1495;1;18;1
46;Graduation;relationship;33183;1;2821;120;0;7;1
52;PhD;Single;66582;0;2814;1288;0;19;2
66;PhD;relationship;75261;0;3128;1743;3;16;2
51;Graduation;Single;31880;1;3302;15;0;3;1
70;Graduation;relationship;53790;2;2722;542;0;17;1
50;PhD;relationship;49269;1;3379;890;0;22;2
46;Graduation;relationship;61456;1;3155;1388;0;29;1
41;Graduation;relationship;37406;1;2958;17;1;3;1
40;PhD;relationship;56937;1;3508;906;2;23;2
43;Graduation;relationship;38415;2;3209;44;0;4;1
33;Graduation;Single;20518;1;2738;25;0;4;1
65;Graduation;relationship;62503;1;3192;973;0;22;1
49;PhD;Single;41644;2;2628;31;0;4;2
44;Master;relationship;55842;1;2733;518;0;16;1
49;PhD;relationship;62010;1;3310;530;0;15;2
44;Graduation;relationship;41124;1;3302;506;0;14;1
48;Master;relationship;38961;1;2877;70;0;5;1
49;Master;Single;37760;1;2929;54;0;5;1
47;Graduation;Single;32233;1;3375;296;2;10;1
46;Graduation;relationship;43057;1;2938;266;0;11;1
61;Master;relationship;83151;0;3323;747;0;18;1
57;PhD;Single;78825;0;3349;895;1;28;2
45;Master;relationship;65104;1;2923;1053;0;15;1
47;Graduation;relationship;60093;1;3064;735;0;19;1
52;Graduation;relationship;14045;1;2850;20;0;4;1
69;Bachelor;Single;28457;0;3305;205;0;9;2
63;PhD;relationship;78952;1;3339;2092;0;19;2
45;Graduation;Single;46310;1;3535;309;0;12;1
66;Graduation;relationship;76005;0;3188;1722;1;21;1
57;Master;Single;58308;1;2906;900;0;11;1
77;PhD;Single;55614;0;2910;682;1;19;2
59;Master;Single;59432;1;3138;663;0;19;1
43;Graduation;Single;55563;1;2752;43;0;5;1
50;PhD;relationship;78642;1;3130;1816;0;17;2
72;PhD;relationship;67911;1;2734;976;0;24;2
77;Graduation;relationship;65275;0;3178;746;0;20;1
71;Graduation;relationship;27203;2;3447;64;0;4;1
60;Master;relationship;48330;1;2922;32;0;4;1
31;Bachelor;relationship;24279;0;3243;263;0;8;2
36;PhD;relationship;64355;1;3370;1445;0;19;2
65;Master;relationship;50943;1;3069;46;0;4;1
68;Graduation;Single;53653;0;3414;1210;0;26;1
45;Graduation;relationship;65665;1;3198;945;0;23;1
32;Graduation;Single;81217;0;3041;1157;0;21;1
29;Graduation;relationship;34935;0;3069;137;0;7;1
62;Graduation;Single;61250;1;3256;730;0;19;1
40;PhD;relationship;39665;1;3096;216;1;9;2
42;Graduation;Single;60152;1;3154;943;0;22;1
57;Graduation;relationship;48920;2;2948;347;1;13;1
62;Master;relationship;89120;0;2800;1924;1;18;1
75;PhD;relationship;44124;1;2932;397;0;13;2
46;Master;Single;81169;0;3137;2089;0;21;1
60;Graduation;relationship;36443;2;3180;138;0;7;1
31;Graduation;Single;26095;1;3060;42;0;4;1
62;Graduation;relationship;71367;0;3006;777;0;16;1
77;Master;relationship;80184;0;2873;1902;2;19;1
56;Graduation;Single;30630;2;2849;52;0;5;1
34;Master;Single;73454;0;2873;1651;1;12;1
30;Graduation;relationship;42691;0;3013;358;0;12;1
68;Graduation;relationship;70503;0;3333;1727;2;15;1
